old_field_name,old_full_name,semantic_field_name,field_type,pages_0_indexed,rect_first_occurrence
f1_03[0],topmostSubform[0].CopyB[0].Col_Left[0].f1_03[0],copy_b_0_col_left_0_f1_03_0,text,2,"[52.400, 612.000, 171.800, 647.999]"
f1_04[0],topmostSubform[0].CopyB[0].Col_Left[0].f1_04[0],copy_b_0_col_left_0_f1_04_0,text,2,"[173.800, 612.000, 294.200, 647.999]"
f1_05[0],topmostSubform[0].CopyB[0].Col_Left[0].f1_05[0],copy_b_0_col_left_0_f1_05_0,text,2,"[52.400, 576.000, 294.200, 600.000]"
f1_06[0],topmostSubform[0].CopyB[0].Col_Left[0].f1_06[0],copy_b_0_col_left_0_f1_06_0,text,2,"[52.400, 540.000, 294.200, 564.000]"
f1_07[0],topmostSubform[0].CopyB[0].Col_Left[0].f1_07[0],copy_b_0_col_left_0_f1_07_0,text,2,"[52.400, 504.000, 294.200, 528.000]"
f1_08[0],topmostSubform[0].CopyB[0].Col_Right[0].Box1[0].f1_08[0],copy_b_0_col_right_0_box1_0_f1_08_0,text,2,"[307.200, 720.000, 395.000, 731.999]"
f1_14[0],topmostSubform[0].CopyB[0].Col_Right[0].Box7[0].f1_14[0],copy_b_0_col_right_0_box7_0_f1_14_0,text,2,"[307.200, 648.000, 395.000, 659.999]"
f1_22[0],topmostSubform[0].CopyB[0].Col_Right[0].Box15[0].f1_22[0],copy_b_0_col_right_0_box15_0_f1_22_0,text,2,"[307.200, 504.000, 395.000, 515.999]"
f1_24[0],topmostSubform[0].CopyB[0].Col_Right[0].Box17[0].f1_24[0],copy_b_0_col_right_0_box17_0_f1_24_0,text,2,"[307.200, 468.000, 395.000, 479.999]"
f1_09[0],topmostSubform[0].CopyB[0].Col_Right[0].f1_09[0],copy_b_0_col_right_0_f1_09_0,text,2,"[397.000, 720.000, 495.800, 744.000]"
f1_10[0],topmostSubform[0].CopyB[0].Col_Right[0].f1_10[0],copy_b_0_col_right_0_f1_10_0,text,2,"[296.200, 695.999, 394.000, 708.000]"
f1_11[0],topmostSubform[0].CopyB[0].Col_Right[0].f1_11[0],copy_b_0_col_right_0_f1_11_0,text,2,"[408.000, 697.002, 494.800, 708.001]"
f1_12[0],topmostSubform[0].CopyB[0].Col_Right[0].f1_12[0],copy_b_0_col_right_0_f1_12_0,text,2,"[296.200, 671.998, 395.000, 683.999]"
f1_13[0],topmostSubform[0].CopyB[0].Col_Right[0].f1_13[0],copy_b_0_col_right_0_f1_13_0,text,2,"[397.000, 671.998, 495.800, 683.999]"
f1_15[0],topmostSubform[0].CopyB[0].Col_Right[0].f1_15[0],copy_b_0_col_right_0_f1_15_0,text,2,"[397.000, 648.000, 495.800, 660.001]"
f1_16[0],topmostSubform[0].CopyB[0].Col_Right[0].f1_16[0],copy_b_0_col_right_0_f1_16_0,text,2,"[296.200, 612.000, 395.000, 636.000]"
f1_17[0],topmostSubform[0].CopyB[0].Col_Right[0].f1_17[0],copy_b_0_col_right_0_f1_17_0,text,2,"[397.000, 612.000, 495.800, 636.000]"
f1_18[0],topmostSubform[0].CopyB[0].Col_Right[0].f1_18[0],copy_b_0_col_right_0_f1_18_0,text,2,"[296.200, 576.000, 395.000, 600.000]"
f1_19[0],topmostSubform[0].CopyB[0].Col_Right[0].f1_19[0],copy_b_0_col_right_0_f1_19_0,text,2,"[397.000, 576.000, 495.800, 600.000]"
f1_20[0],topmostSubform[0].CopyB[0].Col_Right[0].f1_20[0],copy_b_0_col_right_0_f1_20_0,text,2,"[296.200, 540.000, 395.000, 564.000]"
f1_21[0],topmostSubform[0].CopyB[0].Col_Right[0].f1_21[0],copy_b_0_col_right_0_f1_21_0,text,2,"[408.000, 540.000, 495.800, 551.999]"
f1_23[0],topmostSubform[0].CopyB[0].Col_Right[0].f1_23[0],copy_b_0_col_right_0_f1_23_0,text,2,"[408.000, 504.000, 495.800, 515.999]"
f1_25[0],topmostSubform[0].CopyB[0].Col_Right[0].f1_25[0],copy_b_0_col_right_0_f1_25_0,text,2,"[397.000, 468.000, 495.800, 492.000]"
c1_1[0],topmostSubform[0].CopyB[0].CopyBHeader[0].c1_1[0],copy_b_0_copy_bheader_0_c1_1_0,checkbox,2,"[244.800, 758.000, 253.800, 767.000]"
f1_01[0],topmostSubform[0].CopyB[0].CopyBHeader[0].f1_01[0],copy_b_0_copy_bheader_0_f1_01_0,text,2,"[545.600, 663.002, 565.800, 672.001]"
f1_02[0],topmostSubform[0].CopyC[0].Col_Left[0].f1_02[0],copy_c_0_col_left_0_f1_02_0,text,3,"[52.400, 659.999, 294.200, 736.000]"
f1_03[0],topmostSubform[0].CopyC[0].Col_Left[0].f1_03[0],copy_c_0_col_left_0_f1_03_0,text,3,"[52.400, 612.000, 171.800, 647.999]"
f1_04[0],topmostSubform[0].CopyC[0].Col_Left[0].f1_04[0],copy_c_0_col_left_0_f1_04_0,text,3,"[173.800, 612.000, 294.200, 647.999]"
f1_05[0],topmostSubform[0].CopyC[0].Col_Left[0].f1_05[0],copy_c_0_col_left_0_f1_05_0,text,3,"[52.400, 576.000, 294.200, 600.000]"
f1_06[0],topmostSubform[0].CopyC[0].Col_Left[0].f1_06[0],copy_c_0_col_left_0_f1_06_0,text,3,"[52.400, 540.000, 294.200, 564.000]"
f1_07[0],topmostSubform[0].CopyC[0].Col_Left[0].f1_07[0],copy_c_0_col_left_0_f1_07_0,text,3,"[52.400, 504.000, 294.200, 528.000]"
f1_08[0],topmostSubform[0].CopyC[0].Col_Right[0].Box1[0].f1_08[0],copy_c_0_col_right_0_box1_0_f1_08_0,text,3,"[307.200, 720.000, 395.000, 731.999]"
f1_14[0],topmostSubform[0].CopyC[0].Col_Right[0].Box7[0].f1_14[0],copy_c_0_col_right_0_box7_0_f1_14_0,text,3,"[307.200, 648.000, 395.000, 659.999]"
f1_22[0],topmostSubform[0].CopyC[0].Col_Right[0].Box15[0].f1_22[0],copy_c_0_col_right_0_box15_0_f1_22_0,text,3,"[307.200, 504.000, 395.000, 515.999]"
f1_24[0],topmostSubform[0].CopyC[0].Col_Right[0].Box17[0].f1_24[0],copy_c_0_col_right_0_box17_0_f1_24_0,text,3,"[307.200, 468.000, 395.000, 479.999]"
f1_09[0],topmostSubform[0].CopyC[0].Col_Right[0].f1_09[0],copy_c_0_col_right_0_f1_09_0,text,3,"[397.000, 720.000, 495.800, 744.000]"
f1_10[0],topmostSubform[0].CopyC[0].Col_Right[0].f1_10[0],copy_c_0_col_right_0_f1_10_0,text,3,"[296.200, 695.999, 394.000, 708.000]"
f1_11[0],topmostSubform[0].CopyC[0].Col_Right[0].f1_11[0],copy_c_0_col_right_0_f1_11_0,text,3,"[408.000, 697.002, 494.800, 708.001]"
f1_12[0],topmostSubform[0].CopyC[0].Col_Right[0].f1_12[0],copy_c_0_col_right_0_f1_12_0,text,3,"[296.200, 671.998, 395.000, 683.999]"
f1_13[0],topmostSubform[0].CopyC[0].Col_Right[0].f1_13[0],copy_c_0_col_right_0_f1_13_0,text,3,"[397.000, 671.998, 495.800, 683.999]"
f1_15[0],topmostSubform[0].CopyC[0].Col_Right[0].f1_15[0],copy_c_0_col_right_0_f1_15_0,text,3,"[397.000, 648.000, 495.800, 660.001]"
f1_16[0],topmostSubform[0].CopyC[0].Col_Right[0].f1_16[0],copy_c_0_col_right_0_f1_16_0,text,3,"[296.200, 612.000, 395.000, 636.000]"
f1_17[0],topmostSubform[0].CopyC[0].Col_Right[0].f1_17[0],copy_c_0_col_right_0_f1_17_0,text,3,"[397.000, 612.000, 495.800, 636.000]"
f1_18[0],topmostSubform[0].CopyC[0].Col_Right[0].f1_18[0],copy_c_0_col_right_0_f1_18_0,text,3,"[296.200, 576.000, 395.000, 600.000]"
f1_19[0],topmostSubform[0].CopyC[0].Col_Right[0].f1_19[0],copy_c_0_col_right_0_f1_19_0,text,3,"[397.000, 576.000, 495.800, 600.000]"
f1_20[0],topmostSubform[0].CopyC[0].Col_Right[0].f1_20[0],copy_c_0_col_right_0_f1_20_0,text,3,"[296.200, 540.000, 395.000, 564.000]"
f1_21[0],topmostSubform[0].CopyC[0].Col_Right[0].f1_21[0],copy_c_0_col_right_0_f1_21_0,text,3,"[408.000, 540.000, 495.800, 551.999]"
f1_23[0],topmostSubform[0].CopyC[0].Col_Right[0].f1_23[0],copy_c_0_col_right_0_f1_23_0,text,3,"[408.000, 504.000, 495.800, 515.999]"
f1_25[0],topmostSubform[0].CopyC[0].Col_Right[0].f1_25[0],copy_c_0_col_right_0_f1_25_0,text,3,"[397.000, 468.000, 495.800, 492.000]"
c1_1[0],topmostSubform[0].CopyC[0].CopyCHeader[0].c1_1[0],copy_c_0_copy_cheader_0_c1_1_0,checkbox,3,"[244.800, 758.000, 253.800, 767.000]"
f1_01[0],topmostSubform[0].CopyC[0].CopyCHeader[0].f1_01[0],copy_c_0_copy_cheader_0_f1_01_0,text,3,"[545.600, 663.002, 565.800, 672.001]"
f1_02[0],topmostSubform[0].CopyD[0].Col_Left[0].f1_02[0],copy_d_0_col_left_0_f1_02_0,text,6,"[52.400, 659.999, 294.200, 736.000]"
f1_03[0],topmostSubform[0].CopyD[0].Col_Left[0].f1_03[0],copy_d_0_col_left_0_f1_03_0,text,6,"[52.400, 612.000, 171.800, 647.999]"
f1_04[0],topmostSubform[0].CopyD[0].Col_Left[0].f1_04[0],copy_d_0_col_left_0_f1_04_0,text,6,"[173.800, 612.000, 294.200, 647.999]"
f1_05[0],topmostSubform[0].CopyD[0].Col_Left[0].f1_05[0],copy_d_0_col_left_0_f1_05_0,text,6,"[52.400, 576.000, 294.200, 600.000]"
f1_06[0],topmostSubform[0].CopyD[0].Col_Left[0].f1_06[0],copy_d_0_col_left_0_f1_06_0,text,6,"[52.400, 540.000, 294.200, 564.000]"
f1_07[0],topmostSubform[0].CopyD[0].Col_Left[0].f1_07[0],copy_d_0_col_left_0_f1_07_0,text,6,"[52.400, 504.000, 294.200, 528.000]"
f1_08[0],topmostSubform[0].CopyD[0].Col_Right[0].Box1[0].f1_08[0],copy_d_0_col_right_0_box1_0_f1_08_0,text,6,"[307.200, 720.000, 395.000, 731.999]"
f1_14[0],topmostSubform[0].CopyD[0].Col_Right[0].Box7[0].f1_14[0],copy_d_0_col_right_0_box7_0_f1_14_0,text,6,"[307.200, 648.000, 395.000, 659.999]"
f1_22[0],topmostSubform[0].CopyD[0].Col_Right[0].Box15[0].f1_22[0],copy_d_0_col_right_0_box15_0_f1_22_0,text,6,"[307.200, 504.000, 395.000, 515.999]"
f1_24[0],topmostSubform[0].CopyD[0].Col_Right[0].Box17[0].f1_24[0],copy_d_0_col_right_0_box17_0_f1_24_0,text,6,"[307.200, 468.000, 395.000, 479.999]"
f1_09[0],topmostSubform[0].CopyD[0].Col_Right[0].f1_09[0],copy_d_0_col_right_0_f1_09_0,text,6,"[397.000, 720.000, 495.800, 744.000]"
f1_10[0],topmostSubform[0].CopyD[0].Col_Right[0].f1_10[0],copy_d_0_col_right_0_f1_10_0,text,6,"[296.200, 695.999, 395.000, 708.000]"
f1_11[0],topmostSubform[0].CopyD[0].Col_Right[0].f1_11[0],copy_d_0_col_right_0_f1_11_0,text,6,"[408.000, 696.002, 495.800, 708.001]"
f1_12[0],topmostSubform[0].CopyD[0].Col_Right[0].f1_12[0],copy_d_0_col_right_0_f1_12_0,text,6,"[296.200, 671.998, 395.000, 683.999]"
f1_13[0],topmostSubform[0].CopyD[0].Col_Right[0].f1_13[0],copy_d_0_col_right_0_f1_13_0,text,6,"[397.000, 671.998, 495.800, 683.999]"
f1_15[0],topmostSubform[0].CopyD[0].Col_Right[0].f1_15[0],copy_d_0_col_right_0_f1_15_0,text,6,"[397.000, 648.000, 495.800, 660.001]"
f1_16[0],topmostSubform[0].CopyD[0].Col_Right[0].f1_16[0],copy_d_0_col_right_0_f1_16_0,text,6,"[296.200, 612.000, 395.000, 636.000]"
f1_17[0],topmostSubform[0].CopyD[0].Col_Right[0].f1_17[0],copy_d_0_col_right_0_f1_17_0,text,6,"[397.000, 612.000, 495.800, 636.000]"
f1_18[0],topmostSubform[0].CopyD[0].Col_Right[0].f1_18[0],copy_d_0_col_right_0_f1_18_0,text,6,"[296.200, 576.000, 395.000, 600.000]"
f1_19[0],topmostSubform[0].CopyD[0].Col_Right[0].f1_19[0],copy_d_0_col_right_0_f1_19_0,text,6,"[397.000, 576.000, 495.800, 600.000]"
f1_20[0],topmostSubform[0].CopyD[0].Col_Right[0].f1_20[0],copy_d_0_col_right_0_f1_20_0,text,6,"[296.200, 540.000, 395.000, 564.000]"
f1_21[0],topmostSubform[0].CopyD[0].Col_Right[0].f1_21[0],copy_d_0_col_right_0_f1_21_0,text,6,"[408.000, 540.000, 495.800, 551.999]"
f1_23[0],topmostSubform[0].CopyD[0].Col_Right[0].f1_23[0],copy_d_0_col_right_0_f1_23_0,text,6,"[408.000, 504.000, 495.800, 515.999]"
f1_25[0],topmostSubform[0].CopyD[0].Col_Right[0].f1_25[0],copy_d_0_col_right_0_f1_25_0,text,6,"[397.000, 468.000, 495.800, 492.000]"
c1_1[0],topmostSubform[0].CopyD[0].CopyDHeader[0].c1_1[0],copy_d_0_copy_dheader_0_c1_1_0,checkbox,6,"[187.200, 758.000, 196.200, 767.000]"
c1_1[1],topmostSubform[0].CopyD[0].CopyDHeader[0].c1_1[1],copy_d_0_copy_dheader_0_c1_1_1,checkbox,6,"[244.800, 758.000, 253.800, 767.000]"
